Material,Quantity per assembly,Daily demand,Replanishment Days,Cycle inventory (theorical),Safety Stock,Safety Stock (Theorical),Safety Stock in Days,Lot Size Calculado,Kanban Calculado,Business Unit,Supply Area (ZC_MKAL),Área da Fábrica,Package Type,Container Quantity,Package coverage in days,Packages used in a day,Part number Weight (kg),Total weight (parts + package),Nº of Operations,Data
CXT12266,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS060PA,Montagem CANA,Bandejão,15,"2,5","0,4","4,481","143,392",6,2022-01-17
CXT12266,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS060PA,Montagem CANA,Bandejão,15,"2,5","0,4","4,481","143,392",6,2022-01-11
CXT12387,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S0300PA,Solda CANA,Embalagem Especial,24,"4,0","0,25","14,973","284,487",2,2022-04-08
CXT12387,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S0300PA,Solda CANA,Embalagem Especial,24,"4,0","0,25","14,973","284,487",2,2022-01-25
CXT12387,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S0300PA,Solda CANA,Embalagem Especial,24,"4,0","0,25","14,973","284,487",2,2022-02-07
CXT12518,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S0500PA,Solda CANA,Bandejão,40,"6,666666666666667","0,15","5,687","108,05300000000001",2,2022-05-04
CXT12779,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S0500PA,Solda CANA,KLT Pequena,50,"8,333333333333334","0,12","0,187","3,1310000000000002",1,2022-05-05
CXT12802,4,24,5,120,"0,05",6,"1,0",126,2,ARIES,C81FL230PA,Montagem CANA,Bandejão,300,"12,5","0,08","0,158","19,908",5,2022-04-07
CXT12802,4,24,5,120,"0,05",6,"1,0",126,2,ARIES,C81FL230PA,Montagem CANA,Bandejão,300,"12,5","0,08","0,158","19,908",5,2022-04-28
CXT12859,2,12,3,36,"0,05",2,"0,3333333333333333",38,2,ARIES,C51S16A0PA,Solda CANA,Bandejão,100,"8,333333333333334","0,12","0,254","9,652000000000001",2,2022-02-02
CXT12884,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S0900PA,Solda CANA,Bandejão,100,"16,666666666666668","0,06","2,434","46,246",2,2022-01-04
CXT12885,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S16A0PA,Solda CANA,Bandejão,80,"13,333333333333334","0,075","1,65","21,45",1,2022-05-04
CXT13012,8,48,5,240,"0,05",12,"2,0",252,2,ARIES,C81PA050PA,Montagem CANA,Embalagem Especial,20,"0,4166666666666667","2,4","1,551","390,852",5,2022-01-26
CXT13110,2,12,5,60,"0,05",3,"0,5",63,2,ARIES,C81MS070PA,Montagem CANA,Bandejão,25,"2,0833333333333335","0,48","6,472","407,73600000000005",5,2022-04-04
CXT13113,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S1800PA,Solda CANA,Bandejão,100,"16,666666666666668","0,06","2,977","38,701",1,2022-04-06
CXT13363,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S1800PA,Solda CANA,Bandejão,90,"15,0","0,06666666666666667","0,674","12,806000000000001",2,2022-02-14
CXT13513,2,12,5,60,"0,05",3,"0,5",63,2,ARIES,C81MS090PA,Montagem CANA,Bandejão,22,"1,8333333333333333","0,5454545454545454","2,059","129,717",5,2021-07-28
CXT13514,2,12,5,60,"0,05",3,"0,5",63,2,ARIES,C81PA100PA,Montagem CANA,Bandejão,20,"1,6666666666666667","0,6","1,317","82,971",5,2022-01-26
CXT13601,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS050PA,Montagem CANA,KLT Grande,10,"1,6666666666666667","0,6","1,126","39,732",6,2022-01-26
CXT13601,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS050PA,Montagem CANA,KLT Grande,10,"1,6666666666666667","0,6","1,126","39,732",6,2022-01-27
CXT13652,2,12,5,60,"0,05",3,"0,5",63,2,LIBRA E ARIES,C81MS010PA,Montagem CANA,KLT Pequena,120,"10,0","0,1","0,07","5,11",6,2022-05-03
CXT13652,2,12,5,60,"0,05",3,"0,5",63,2,LIBRA E ARIES,C81MS010PA,Montagem CANA,KLT Pequena,120,"10,0","0,1","0,07","5,11",6,2022-02-04
CXT13652,2,12,5,60,"0,05",3,"0,5",63,2,LIBRA E ARIES,C81MS010PA,Montagem CANA,KLT Pequena,120,"10,0","0,1","0,07","5,11",6,2022-01-18
CXT13988,4,24,5,120,"0,05",6,"1,0",126,2,ARIES,C81MS090PA,Montagem CANA,Bandejão,50,"2,0833333333333335","0,48","1,636","206,136",6,2022-05-03
CXT13988,4,24,5,120,"0,05",6,"1,0",126,2,ARIES,C81MS090PA,Montagem CANA,Bandejão,50,"2,0833333333333335","0,48","1,636","206,136",6,2022-01-25
CXT13988,4,24,5,120,"0,05",6,"1,0",126,2,ARIES,C81MS090PA,Montagem CANA,Bandejão,50,"2,0833333333333335","0,48","1,636","206,136",6,2022-02-10
CXT13988,4,24,5,120,"0,05",6,"1,0",126,2,ARIES,C81MS090PA,Montagem CANA,Bandejão,50,"2,0833333333333335","0,48","1,636","206,136",6,2021-07-28
CXT14101,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS070PA,Montagem CANA,Bandejão,18,"3,0","0,3333333333333333","2,375","76,0",5,2022-04-21
CXT14262,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81FL230PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,127","68,064",6,2022-04-29
CXT14328,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS060PA,Montagem CANA,Bandejão,30,"5,0","0,2","0,589","18,848",6,2022-01-19
CXT14432,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS030PA,Montagem CANA,Bandejão,40,"6,666666666666667","0,15","0,927","29,664",6,2022-02-05
CXT14754,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S01E0PA,Solda CANA,Bandejão,30,"5,0","0,2","3,859","50,167",1,2022-02-07
CXT14967,2,12,2,24,"0,05",2,"0,3333333333333333",26,2,ARIES,C51S16A0PA,Solda CANA,Bandejão,60,"5,0","0,2","1,48","38,48",1,2022-02-07
CXT15591,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S16A0PA,Solda CANA,Bandejão,60,"10,0","0,1","3,43","44,59",1,2022-02-01
CXT15591,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S16A0PA,Solda CANA,Bandejão,60,"10,0","0,1","3,43","44,59",1,2022-01-19
CXT15618,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S01E0PA,Solda CANA,Bandejão,16,"2,6666666666666665","0,375","2,156","40,964000000000006",2,2022-05-04
CXT15637,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS040PA,Montagem CANA,Bandejão,18,"3,0","0,3333333333333333","1,266","40,512",6,2022-01-19
CXT15885,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS050PA,Montagem CANA,Bandejão,18,"3,0","0,3333333333333333","0,91","29,12",6,2021-07-28
CXT16330,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS030PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,895","92,64",6,2022-02-21
CXT16330,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS030PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,895","92,64",6,2022-02-07
CXT16330,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS030PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,895","92,64",6,2021-07-28
CXT16928,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S16A0PA,Solda CANA,Bandejão,50,"8,333333333333334","0,12","2,306","43,814",2,2022-02-07
CXT16928,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S16A0PA,Solda CANA,Bandejão,50,"8,333333333333334","0,12","2,306","43,814",2,2022-05-03
CXT16941,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS090PA,Montagem CANA,Container Médio,22,"3,6666666666666665","0,2727272727272727","5,207","226,624",6,2022-01-05
CXT16941,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS090PA,Montagem CANA,Container Médio,22,"3,6666666666666665","0,2727272727272727","5,207","226,624",6,2022-01-06
CXT16941,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS090PA,Montagem CANA,Container Médio,22,"3,6666666666666665","0,2727272727272727","5,207","226,624",6,2022-02-07
CXT16941,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS090PA,Montagem CANA,Container Médio,22,"3,6666666666666665","0,2727272727272727","5,207","226,624",6,2022-05-03
CXT16941,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS090PA,Montagem CANA,Container Médio,22,"3,6666666666666665","0,2727272727272727","5,207","226,624",6,2022-05-04
CXT16941,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS090PA,Montagem CANA,Container Médio,22,"3,6666666666666665","0,2727272727272727","5,207","226,624",6,2022-04-28
CXT16941,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS090PA,Montagem CANA,Container Médio,22,"3,6666666666666665","0,2727272727272727","5,207","226,624",6,2021-07-29
CXT16963,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81FL310PA,Montagem CANA,Container Grande,20,"3,3333333333333335","0,3","8,825","372,4",6,2022-05-05
CXT17064,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81PA050PA,Montagem CANA,KLT Grande,25,"4,166666666666667","0,24","0,514","20,148",6,2022-01-03
CXT17374,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS040PA,Montagem CANA,Bandejão,15,"2,5","0,4","1,988","63,616",6,2022-01-21
CXT17434,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S01E0PA,Solda CANA,KLT Pequena,60,"10,0","0,1","0,125","2,325",1,2022-01-06
CXT17435,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S01E0PA,Solda CANA,Bandejão,64,"10,666666666666666","0,09375","1,975","25,675",1,2022-02-02
CXT17435,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S01E0PA,Solda CANA,Bandejão,64,"10,666666666666666","0,09375","1,975","25,675",1,2022-05-02
CXT17491,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S0900PA,Solda CANA,Embalagem Especial,36,"6,0","0,16666666666666666","2,474","32,162000000000006",1,2022-01-18
CXT17493,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81PA110PA,Montagem CANA,Bandejão,15,"2,5","0,4","3,136","100,352",6,2022-02-08
CXT17493,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81PA110PA,Montagem CANA,Bandejão,15,"2,5","0,4","3,136","100,352",6,2022-04-26
CXT17574,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS030PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,899","92,768",6,2022-04-29
CXT17574,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS030PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,899","92,768",6,2022-05-05
CXT17574,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS030PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,899","92,768",6,2022-01-19
CXT17574,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS030PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,899","92,768",6,2022-01-25
CXT17574,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS030PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,899","92,768",6,2022-04-11
CXT17574,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS030PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,899","92,768",6,2022-01-24
CXT17574,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS030PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,899","92,768",6,2022-01-24
CXT17657,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,LIBRA E ARIES,C81MS070PA,Montagem CANA,KLT Pequena,25,"4,166666666666667","0,24","0,069","2,9080000000000004",5,2022-02-05
CXT17657,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,LIBRA E ARIES,C81MS070PA,Montagem CANA,KLT Pequena,25,"4,166666666666667","0,24","0,069","2,9080000000000004",5,2022-04-02
CXT17770,4,24,5,120,"0,05",6,"1,0",126,2,LIBRA E ARIES,C81FL310PA,Montagem CANA,KLT Média,26,"1,0833333333333333","0,9230769230769231","0,502","64,852",5,2022-04-06
CXT18389,2,12,3,36,"0,05",2,"0,3333333333333333",38,2,ARIES,C51S01E0PA,Solda CANA,KLT Grande,13,"1,0833333333333333","0,9230769230769231","0,869","36,722",2,2022-02-14
CXT18389,2,12,3,36,"0,05",2,"0,3333333333333333",38,2,ARIES,C51S01E0PA,Solda CANA,KLT Grande,13,"1,0833333333333333","0,9230769230769231","0,869","36,722",2,2022-02-21
CXT18401,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS070PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,372","75,904",6,2022-01-26
CXT18401,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS070PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,372","75,904",6,2022-01-31
CXT18401,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS070PA,Montagem CANA,Bandejão,20,"3,3333333333333335","0,3","2,372","75,904",6,2022-04-04
CXT18402,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS070PA,Montagem CANA,Bandejão,16,"2,6666666666666665","0,375","3,615","115,68",6,2022-04-04
CXT18402,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS070PA,Montagem CANA,Bandejão,16,"2,6666666666666665","0,375","3,615","115,68",6,2022-04-29
CXT18403,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81MS070PA,Montagem CANA,Bandejão,16,"2,6666666666666665","0,375","3,615","115,68",6,2022-01-06
CXT18404,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S1200PA,Solda CANA,Bandejão,60,"10,0","0,1","5,934","112,74600000000001",2,2022-01-26
CXT18414,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81PA090PA,Montagem CANA,Embalagem Especial,20,"3,3333333333333335","0,3","0,826","26,432",5,2022-01-04
CXT18414,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81PA090PA,Montagem CANA,Embalagem Especial,20,"3,3333333333333335","0,3","0,826","26,432",5,2022-01-11
CXT18428,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81FL220PA,Montagem CANA,KLT Média,8,"1,3333333333333333","0,75","1,548","51,136",6,2022-01-11
CXT18428,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81FL220PA,Montagem CANA,KLT Média,8,"1,3333333333333333","0,75","1,548","51,136",6,2022-01-19
CXT18674,2,12,5,60,"0,05",3,"0,5",63,2,ARIES,C81FL110PA,Montagem CANA,Bandejão,16,"1,3333333333333333","0,75","2,253","141,93900000000002",6,2022-02-03
CXT18674,2,12,5,60,"0,05",3,"0,5",63,2,ARIES,C81FL110PA,Montagem CANA,Bandejão,16,"1,3333333333333333","0,75","2,253","141,93900000000002",6,2022-02-07
CXT18674,2,12,5,60,"0,05",3,"0,5",63,2,ARIES,C81FL110PA,Montagem CANA,Bandejão,16,"1,3333333333333333","0,75","2,253","141,93900000000002",6,2022-02-22
CXT18674,2,12,5,60,"0,05",3,"0,5",63,2,ARIES,C81FL110PA,Montagem CANA,Bandejão,16,"1,3333333333333333","0,75","2,253","141,93900000000002",6,2022-03-14
CXT18674,2,12,5,60,"0,05",3,"0,5",63,2,ARIES,C81FL110PA,Montagem CANA,Bandejão,16,"1,3333333333333333","0,75","2,253","141,93900000000002",6,2022-03-16
CXT18674,2,12,5,60,"0,05",3,"0,5",63,2,ARIES,C81FL110PA,Montagem CANA,Bandejão,16,"1,3333333333333333","0,75","2,253","141,93900000000002",6,2022-01-17
CXT18674,2,12,5,60,"0,05",3,"0,5",63,2,ARIES,C81FL110PA,Montagem CANA,Bandejão,16,"1,3333333333333333","0,75","2,253","141,93900000000002",6,2022-01-04
